"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "SCSS", "CSS", "Log", "XML", "JavaScript React", "comment", "blank", "total"
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\README.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 32, 69
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\debug.log", "Log", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 1, 115
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\package-lock.json", "JSON", 14872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14873
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\package.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\public\index.html", "HTML", 0, 0, 20, 0, 0, 0, 0, 0, 0, 23, 1, 44
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\App.js", "JavaScript", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 10, 92
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\App.scss", "SCSS", 0, 0, 0, 0, 82, 0, 0, 0, 0, 3, 26, 111
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\App.test.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\assets\button.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\assets\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\assets\technology.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\components\logIn\logIn.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 24, 132
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\components\nav-bar\navBar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 45, 2, 12, 59
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\components\nav-bar\navBarLogin.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 12, 21
"c:\Users\Kanzaki\Desktop\ReactProject\stimple\src\components\student\studentComponents\courses.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 41, 1, 11, 53
